sample,capture.area,slide,polyA,rnase_inhib,tissue,experiment,data.dir.spaceranger,data.dir.spaceranger.REO,data.dir.STARsolo,data.dir.STARsolo.REO,data.dir.kallisto,data.dir.kallisto.REO
CTRL-SkM-D2,Vis_ctrl_5A,CTRL_1,ctrl,ctrl,muscle,Ntx_2dpi,/workdir/dwm269/totalRNA/data/spaceranger_count/Vis_ctrl_5A_spaceranger_count,NA,/workdir/dwm269/totalRNA/data/STARsolo/GRCm39_GENCODEM27_Visium/Vis_ctrl_5A_STARsolo,NA,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_GENCODEM27_Visium/Vis_ctrl_5A,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_REOT1L_Visium/Vis_ctrl_5A
CTRL-SkM-D5,Vis_ctrl_7B,CTRL_1,ctrl,ctrl,muscle,Ntx_5dpi,/workdir/dwm269/totalRNA/data/spaceranger_count/Vis_ctrl_7B_spaceranger_count,NA,/workdir/dwm269/totalRNA/data/STARsolo/GRCm39_GENCODEM27_Visium/Vis_ctrl_7B_STARsolo,NA,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_GENCODEM27_Visium/Vis_ctrl_7B,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_REOT1L_Visium/Vis_ctrl_7B
CTRL-SkM-D7,Vis_ctrl_9A,CTRL_1,ctrl,ctrl,muscle,Ntx_7dpi,/workdir/dwm269/totalRNA/data/spaceranger_count/Vis_ctrl_9A_spaceranger_count,NA,/workdir/dwm269/totalRNA/data/STARsolo/GRCm39_GENCODEM27_Visium/Vis_ctrl_9A_STARsolo,NA,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_GENCODEM27_Visium/Vis_ctrl_9A,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_REOT1L_Visium/Vis_ctrl_9A
yPAP-SUPER_SkM-D0A,Vis_yPAP_2A,yPAP_2,yPAP,SUPER,muscle,Uninjured,/workdir/dwm269/totalRNA/data/spaceranger_count/Vis_yPAP_2A_TA-D0_spaceranger_count,NA,/workdir/dwm269/totalRNA/data/STARsolo/GRCm39_GENCODEM27_Visium/Vis_yPAP_2A_STARsolo,NA,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_GENCODEM27_Visium/Vis_yPAP_2A,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_REOT1L_Visium/Vis_yPAP_2A
yPAP-SUPER_SkM-D5A,Vis_yPAP_2A,yPAP_2,yPAP,SUPER,muscle,Ntx_5dpi,/workdir/dwm269/totalRNA/data/spaceranger_count/Vis_yPAP_2A_TA-D5_spaceranger_count,NA,/workdir/dwm269/totalRNA/data/STARsolo/GRCm39_GENCODEM27_Visium/Vis_yPAP_2A_STARsolo,NA,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_GENCODEM27_Visium/Vis_yPAP_2A,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_REOT1L_Visium/Vis_yPAP_2A
yPAP-SUPER_SkM-D0B,Vis_yPAP_2B,yPAP_2,yPAP,SUPER,muscle,Uninjured,/workdir/dwm269/totalRNA/data/spaceranger_count/Vis_yPAP_2B_TA-D0_spaceranger_count,NA,/workdir/dwm269/totalRNA/data/STARsolo/GRCm39_GENCODEM27_Visium/Vis_yPAP_2B_STARsolo,NA,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_GENCODEM27_Visium/Vis_yPAP_2B,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_REOT1L_Visium/Vis_yPAP_2B
yPAP-SUPER_SkM-D2,Vis_yPAP_2B,yPAP_2,yPAP,SUPER,muscle,Ntx_2dpi,/workdir/dwm269/totalRNA/data/spaceranger_count/Vis_yPAP_2B_TA-D2_spaceranger_count,NA,/workdir/dwm269/totalRNA/data/STARsolo/GRCm39_GENCODEM27_Visium/Vis_yPAP_2B_STARsolo,NA,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_GENCODEM27_Visium/Vis_yPAP_2B,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_REOT1L_Visium/Vis_yPAP_2B
yPAP-SUPER_SkM-D5B,Vis_yPAP_2D,yPAP_2,yPAP,SUPER,muscle,Ntx_5dpi,/workdir/dwm269/totalRNA/data/spaceranger_count/Vis_yPAP_2D_TA-D5_spaceranger_count,NA,/workdir/dwm269/totalRNA/data/STARsolo/GRCm39_GENCODEM27_Visium/Vis_yPAP_2D_STARsolo,NA,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_GENCODEM27_Visium/Vis_yPAP_2D,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_REOT1L_Visium/Vis_yPAP_2D
yPAP-SUPER_SkM-D7,Vis_yPAP_2D,yPAP_2,yPAP,SUPER,muscle,Ntx_7dpi,/workdir/dwm269/totalRNA/data/spaceranger_count/Vis_yPAP_2D_TA-D7_spaceranger_count,NA,/workdir/dwm269/totalRNA/data/STARsolo/GRCm39_GENCODEM27_Visium/Vis_yPAP_2D_STARsolo,NA,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_GENCODEM27_Visium/Vis_yPAP_2D,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_REOT1L_Visium/Vis_yPAP_2D
yPAP-Pro_SkM-D5,Vis_yPAP_3C,yPAP_3,yPAP,Protector,muscle,Ntx_5dpi,/workdir/dwm269/totalRNA/data/spaceranger_count/Vis_yPAP_3C_TA-D5_spaceranger_count,NA,/workdir/dwm269/totalRNA/data/STARsolo/GRCm39_GENCODEM27_Visium/Vis_yPAP_3C_STARsolo,NA,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_GENCODEM27_Visium/Vis_yPAP_3C,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_REOT1L_Visium/Vis_yPAP_3C
yPAP-Pro_SkM-D7,Vis_yPAP_3C,yPAP_3,yPAP,Protector,muscle,Ntx_7dpi,/workdir/dwm269/totalRNA/data/spaceranger_count/Vis_yPAP_3C_TA-D7_spaceranger_count,NA,/workdir/dwm269/totalRNA/data/STARsolo/GRCm39_GENCODEM27_Visium/Vis_yPAP_3C_STARsolo,NA,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_GENCODEM27_Visium/Vis_yPAP_3C,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_REOT1L_Visium/Vis_yPAP_3C
yPAP-Pro_SkM-D0,Vis_yPAP_3D,yPAP_3,yPAP,Protector,muscle,Uninjured,/workdir/dwm269/totalRNA/data/spaceranger_count/Vis_yPAP_3D_TA-D0_spaceranger_count,NA,/workdir/dwm269/totalRNA/data/STARsolo/GRCm39_GENCODEM27_Visium/Vis_yPAP_3D_STARsolo,NA,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_GENCODEM27_Visium/Vis_yPAP_3D,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_REOT1L_Visium/Vis_yPAP_3D
yPAP-Pro_SkM-D2,Vis_yPAP_3D,yPAP_3,yPAP,Protector,muscle,Ntx_2dpi,/workdir/dwm269/totalRNA/data/spaceranger_count/Vis_yPAP_3D_TA-D2_spaceranger_count,NA,/workdir/dwm269/totalRNA/data/STARsolo/GRCm39_GENCODEM27_Visium/Vis_yPAP_3D_STARsolo,NA,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_GENCODEM27_Visium/Vis_yPAP_3D,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_REOT1L_Visium/Vis_yPAP_3D
mock_D7PI,Ask_MM,Ask_MM,ctrl,ctrl,heart,mock_7dpi,/workdir/dwm269/totalRNA/data/spaceranger_count/mock_D7PI_spaceranger_count,/workdir/dwm269/totalRNA/data/spaceranger_count/mock_D7PI_GRCm39Reo_spaceranger_count,/workdir/dwm269/totalRNA/data/STARsolo/GRCm39_GENCODEM27_Visium/mock_D7PI_STARsolo,/workdir/dwm269/totalRNA/data/STARsolo/GRCm39_GENCODEM27_Visium/REO/mock_D7PI_STARsolo,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_GENCODEM27_Visium/mock_D7PI,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_REOT1L_Visium/mock_D7PI
T1L_D7PI,Ask_MM,Ask_MM,ctrl,ctrl,heart,T1L_7dpi,/workdir/dwm269/totalRNA/data/spaceranger_count/T1L_D7PI_spaceranger_count,/workdir/dwm269/totalRNA/data/spaceranger_count/T1L_D7PI_GRCm39Reo_spaceranger_count,/workdir/dwm269/totalRNA/data/STARsolo/GRCm39_GENCODEM27_Visium/T1L_D7PI_STARsolo,/workdir/dwm269/totalRNA/data/STARsolo/GRCm39_GENCODEM27_Visium/REO/T1L_D7PI_STARsolo,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_GENCODEM27_Visium/T1L_D7PI,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_REOT1L_Visium/T1L_D7PI
yPAP-Pro_Heart-mock,Vis_yPAP_3A,yPAP_3,yPAP,Protector,heart,mock_7dpi,/workdir/dwm269/totalRNA/data/spaceranger_count/Vis_yPAP_3A_Heart-Mock_spaceranger_count,/workdir/dwm269/totalRNA/data/spaceranger_count/Vis_yPAP_3A_Heart-Mock_GRCm39Reo_spaceranger_count,/workdir/dwm269/totalRNA/data/STARsolo/GRCm39_GENCODEM27_Visium/Vis_yPAP_3A_STARsolo,/workdir/dwm269/totalRNA/data/STARsolo/GRCm39_GENCODEM27_Visium/REO/Vis_yPAP_3A_STARsolo,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_GENCODEM27_Visium/Vis_yPAP_3A,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_REOT1L_Visium/Vis_yPAP_3A
yPAP-Pro_Heart-D7T1L,Vis_yPAP_3B,yPAP_3,yPAP,Protector,heart,T1L_7dpi,/workdir/dwm269/totalRNA/data/spaceranger_count/Vis_yPAP_3B_Heart-T1L-D7PI_spaceranger_count,/workdir/dwm269/totalRNA/data/spaceranger_count/Vis_yPAP_3B_Heart-T1L-D7PI_GRCm39Reo_spaceranger_count,/workdir/dwm269/totalRNA/data/STARsolo/GRCm39_GENCODEM27_Visium/Vis_yPAP_3B_STARsolo,/workdir/dwm269/totalRNA/data/STARsolo/GRCm39_GENCODEM27_Visium/REO/Vis_yPAP_3B_STARsolo,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_GENCODEM27_Visium/Vis_yPAP_3B,/workdir/dwm269/totalRNA/data/kallisto/GRCm39_REOT1L_Visium/Vis_yPAP_3B
